origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Greater Bendigo,Hume,13,Weekend,Off_Peak,135,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,14,Weekend,Off_Peak,71,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,14,Weekday,Off_Peak,249,Woodvale (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,15,Weekend,Off_Peak,46,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,15,Weekday,Off_Peak,204,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,16,Weekday,PM_Peak,133,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,16,Weekend,PM_Peak,84,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Dallas,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,17,Weekend,PM_Peak,48,Golden Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,17,Weekday,PM_Peak,192,Woodvale (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,18,Weekday,PM_Peak,173,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
